epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6301,1.23455,2.16091,1.18138,0.61583,0.60499,0.61608,0.391,1.21614,1.82817,1.2993,0.000654762,0.000654762,0.000654762
2,183.227,1.16616,1.32475,1.17316,0.61959,0.57794,0.57441,0.30092,1.46381,1.92447,1.60788,0.00129526,0.00129526,0.00129526
3,269.364,1.23127,1.31685,1.21133,0.38439,0.41918,0.32106,0.17517,1.70351,2.31009,1.78361,0.00190937,0.00190937,0.00190937
4,355.311,1.23919,1.31802,1.22491,0.61172,0.65368,0.63978,0.38943,1.36445,1.67046,1.45385,0.0018812,0.0018812,0.0018812
5,442.189,1.21477,1.28195,1.21486,0.62339,0.60073,0.60931,0.36968,1.29895,1.8489,1.42566,0.0018416,0.0018416,0.0018416
6,530.835,1.19032,1.21475,1.19982,0.63127,0.62934,0.64594,0.40795,1.25819,1.62798,1.33276,0.001802,0.001802,0.001802
7,615.372,1.126,1.16206,1.16182,0.64626,0.66051,0.66816,0.42414,1.21321,1.57353,1.29176,0.0017624,0.0017624,0.0017624
8,703.453,1.1168,1.16114,1.15639,0.65087,0.69446,0.69233,0.44584,1.21092,1.32298,1.30145,0.0017228,0.0017228,0.0017228
9,787.723,1.09952,1.10698,1.16255,0.68929,0.68188,0.70855,0.45719,1.15492,1.41681,1.27602,0.0016832,0.0016832,0.0016832
10,872.062,1.09633,1.0601,1.14616,0.67712,0.71881,0.73177,0.49129,1.11592,1.21041,1.22413,0.0016436,0.0016436,0.0016436
11,956.07,1.07684,1.04705,1.1262,0.65468,0.58004,0.62146,0.40125,1.26705,1.42604,1.31914,0.001604,0.001604,0.001604
12,1041.52,1.0688,1.04395,1.12377,0.66862,0.70246,0.71901,0.47541,1.11825,1.10219,1.21789,0.0015644,0.0015644,0.0015644
13,1123.55,1.06968,1.03684,1.11968,0.69586,0.71717,0.73906,0.48916,1.13765,1.08981,1.23158,0.0015248,0.0015248,0.0015248
14,1206.44,1.05407,1.0218,1.11756,0.71155,0.68163,0.72498,0.49253,1.10544,1.13663,1.20872,0.0014852,0.0014852,0.0014852
15,1295.1,1.03905,1.0012,1.11397,0.72694,0.70648,0.75817,0.51311,1.11273,1.08699,1.2099,0.0014456,0.0014456,0.0014456
16,1381.47,1.06042,1.00061,1.11757,0.6905,0.71881,0.73754,0.49635,1.10244,1.10131,1.20868,0.001406,0.001406,0.001406
17,1473.37,1.01104,0.98521,1.10082,0.68929,0.71637,0.73021,0.49766,1.07304,1.18408,1.21077,0.0013664,0.0013664,0.0013664
