Filepath,Text,Language
train/hindi/A_image_105_34.jpg,सत्‍यमेव,hindi
train/hindi/A_image_105_35.jpg,जयते,hindi
train/hindi/A_image_1065_0.jpg,नई,hindi
train/hindi/A_image_1065_1.jpg,मुख्यधारा,hindi
train/hindi/A_image_1065_11.jpg,यात्रा,hindi
train/hindi/A_image_1065_12.jpg,असम,hindi
train/hindi/A_image_1065_13.jpg,प्रगति,hindi
train/hindi/A_image_1065_14.jpg,क‍ी,hindi
train/hindi/A_image_1065_15.jpg,की‍,hindi
train/hindi/A_image_1065_16.jpg,साथ ,hindi
train/hindi/A_image_1065_17.jpg,के,hindi
train/hindi/A_image_1065_18.jpg,की,hindi
train/hindi/A_image_1065_2.jpg,राष्ट्र,hindi
train/hindi/A_image_1066_0.jpg,असम,hindi
train/hindi/A_image_1066_1.jpg,साथ ,hindi
train/hindi/A_image_1066_18.jpg,के,hindi
train/hindi/A_image_1066_19.jpg,की,hindi
train/hindi/A_image_1066_2.jpg,मुख्यधारा,hindi
train/hindi/A_image_1066_20.jpg,क‍ी,hindi
train/hindi/A_image_1066_21.jpg,की‍,hindi
train/hindi/A_image_1066_22.jpg,नई,hindi
train/hindi/A_image_1066_23.jpg,प्रगति,hindi
train/hindi/A_image_1066_24.jpg,यात्रा,hindi
train/hindi/A_image_1066_3.jpg,राष्ट्र्र,hindi
train/hindi/A_image_1069_0.jpg,डिब्रुगढ़ ,hindi
train/hindi/A_image_1069_4.jpg,डिब्रुगढ़,hindi
train/hindi/A_image_1157_125.jpg,गेल,hindi
train/hindi/A_image_1157_130.jpg,मनमोहन,hindi
train/hindi/A_image_1157_5.jpg,डा.,hindi
train/hindi/A_image_1157_88.jpg,ऑयल,hindi
train/hindi/A_image_1157_89.jpg,इंडिया,hindi
train/hindi/A_image_1157_90.jpg,लिमिटेड,hindi
train/hindi/A_image_1164_0.jpg,लोकसभा,hindi
train/hindi/A_image_1164_108.jpg,एंडप,hindi
train/hindi/A_image_1164_109.jpg,पॉलीमर,hindi
train/hindi/A_image_1164_110.jpg,लिमिटेड,hindi
train/hindi/A_image_1164_111.jpg,पेट्रोकेमिकल,hindi
train/hindi/A_image_1164_112.jpg,का,hindi
train/hindi/A_image_1164_113.jpg,श्री,hindi
train/hindi/A_image_1164_114.jpg,नरेन्द्र,hindi
train/hindi/A_image_1164_115.jpg,मोदी,hindi
train/hindi/A_image_1164_139.jpg,श्री,hindi
train/hindi/A_image_1164_140.jpg,अनंत,hindi
train/hindi/A_image_1164_141.jpg,कुमार,hindi
train/hindi/A_image_1164_142.jpg,रसायन,hindi
train/hindi/A_image_1164_143.jpg,और,hindi
train/hindi/A_image_1164_145.jpg,गोगोई,hindi
train/hindi/A_image_1164_146.jpg,श्री,hindi
train/hindi/A_image_1164_147.jpg,धर्मेंद्र,hindi
train/hindi/A_image_1164_148.jpg,प्रधान,hindi
train/hindi/A_image_1164_149.jpg,राज्य,hindi
train/hindi/A_image_1164_150.jpg,मंत्री,hindi
train/hindi/A_image_1164_151.jpg,स्वतंत्र,hindi
train/hindi/A_image_1164_152.jpg,प्रभार),hindi
train/hindi/A_image_1164_161.jpg,श्री,hindi
train/hindi/A_image_1164_162.jpg,रामेश्वर,hindi
train/hindi/A_image_1164_163.jpg,श्री,hindi
train/hindi/A_image_1164_164.jpg,गंगाराम,hindi
train/hindi/A_image_1164_165.jpg,श्री,hindi
train/hindi/A_image_1164_166.jpg,माझी,hindi
train/hindi/A_image_1164_167.jpg,लेपेटकटा,hindi
train/hindi/A_image_1164_168.jpg,असम,hindi
train/hindi/A_image_1164_19.jpg,আক সাব,hindi
train/hindi/A_image_1164_199.jpg,सांसद,hindi
train/hindi/A_image_1164_32.jpg,"डिब्रूगढ़,",hindi
train/hindi/A_image_1164_33.jpg,"बीसीपीएल,",hindi
train/hindi/A_image_1164_34.jpg,पृथ्वी,hindi
train/hindi/A_image_1164_35.jpg,अहिर,hindi
train/hindi/A_image_1164_36.jpg,हंसराज,hindi
train/hindi/A_image_1164_37.jpg,तेली,hindi
train/hindi/A_image_1164_42.jpg,सोनोवाल,hindi
train/hindi/A_image_1164_43.jpg,सर्वानन्द,hindi
train/hindi/A_image_1164_44.jpg,श्री,hindi
train/hindi/A_image_1164_46.jpg,सरकार,hindi
train/hindi/A_image_1164_47.jpg,भारत,hindi
train/hindi/A_image_1164_49.jpg,प्राकृतिक,hindi
train/hindi/A_image_1164_50.jpg,एवं,hindi
train/hindi/A_image_1164_51.jpg,पेट्रोलियम,hindi
train/hindi/A_image_1164_52.jpg,असम,hindi
